//
// Danske meddelelser, som benyttes af COMAL-systemet. Version 3.11
//
// (C) Copyright UniComal A/S 1989-1992.
//

//
//----- Runtime meddelelser:
//

  0       "REPORT-fejl"
  1       "Argumentfejl"
  2       "Overlõb"
  3       "Division med nul"
  4       "Deltekst-fejl"
  5       "Uden for vërdiomrÜde"
  6       "Step =0"
  7       "Ulovlige grënser"
  8       "Fejl i formatstreng"
  9       "Udtryk for kompliceret"
  10      "Ugyldig indeksvërdi"
  11      "Ugyldigt filnavn"
  12      "DATA-konstant har forkert type"
  13      "Not-A-Number (NaN)"
  14      "Program for stort"
  15      "Utilstrëkkeligt med hukommelse til swapping"
  16      "Filen er ikke en COMAL-fil"
  17      "Programmet er til en anden COMAL-version"
  18      "Utilstrëkkeligt med lager til eksterne"
  19      "Tabellerne er forskelligt dimensioneret"
  20      "Ikke mere lagerplads til dynamisk oprettede variable"
  21      "En VOID-pointer kan ikke pege pÜ en variabel"
  22      "Attribut ikke dimensioneret"
  23      "En passende WHEN-vërdi er ikke fundet"
  24      "RETURN har ikke returneret en funktionsvërdi"
  25      "Variablen er allerede dimensioneret"
  26      "Meddelelsesnummeret er ikke lokalt i MODULE/STRUC"
  27      "For mange STRUC-variabler inden i hinanden"
  28      "Ingen meddelelsesfil til MODULE/STRUC"
  29      "Variablen kan ikke dimensioneres her"
  30      "Ikke mere plads til tabeller og strenge"

//
//----- SCAN meddelelser.
//

  44      "Navnekonflikt skal lõses med dot-notation"
  45      "Linien er ikke i ovenstemmelse med COMAL's syntaks"
  46      "Variablen har ikke fÜet nogen vërdi"
//----- 45 reserveret til GOTO/GOSUB
//----- 46 reserveret til GOTO/GOSUB
//47      "Facilitet ikke tilstede i entry version"
  48      "MODULE/STRUC '"
  49      "Ugyldig brug af PROC-parameter"
  50      "MODULE/STRUC indeholder ikke det forventede"
  51      "Systemfejl"
  52      "Ikke plads til stakken"
  53      "Forkert dimension i parameteren"
  54      "Parameteren skal vëre en tabel"
  55      "For fÜ indices"
  56      "Kan ikke tildele funktionskald eller lõkketëller"
  57      "Facilitet ikke indbygget"
  58      "CON/TRACE er ikke mulig"
  59      "Programmet er ikke SCANnet"
  60      "For mange indices"
  61      "Denne program tekst kan hverken ëndres eller SAVEs"
  62      "Ikke en procedure"
  63      "Udefineret procedure eller sëtning"
  64      "Ulovlig GOTO"
  65      "Variablen er ikke dimensioneret"
  66      "For mange PROC/FUNC inden i hinanden"
  67      "Parameterlisterne er forskellige"
  68      "Ingen passende CLOSED PROC/FUNC i filen"
  69      "For fÜ parametre"
  70      "Forkert indekstype"
  71      "Parameteren skal vëre en variabel"
  72      "Forkert parametertype"
  73      "Parameteren kan ikke vëre en tabel"
  74      "Hverken en tabel eller en funktion"
  75      "Ikke en simpel variabel"
  76      "Udefineret tabel eller funktion"
  77      "Ikke en MODULE/STRUC-fil"
  78      "Navnet kan ikke IMPORTeres"
  79      "For mange parametre"
  80      "Ingen DATA-sëtninger ved etikette"
  81      "Hverken en struktureret variabel eller et MODULE"
  82      "Attribut ikke EXPORTeret"
  83      "Ikke en STRUC"
  84      "Ikke en struktureret variabel"
  85      "Ikke en tabel"
  86      "Forkert antal indices"
  87      "Kun tilladt i lukkede strukturer"
  88      "EXPORT er kun tilladt i MODULE/STRUC"
  89      "Variablen er af en forkert STRUC-type"
  90      "Navnet er allerede erklëret"
  91      "MODULE er ikke tilladt inden i STRUC"
  92      "Variablen er ikke en kommatalsvariabel"
  93      "Etikette, MODULE og STRUC kan ikke EXPORTeres"
  94      "Filen er ikke SCANnet"
  95      "Ikke en etikette"
  96      "Ikke et modul, eller ikke fundet"
  97      "Forkert dimension"
  98      "Udefineret etikette"

//   "Fejl" gives, nÜr meddelelsen ikke kendes af COMAL.

  99      "Fejl"

//
//----- Meddelelser, som gives under indtastning af linier.
//

  101     "Syntaksfejl"
  102     "Forkert type"
  103     "Sëtningen er for lang eller for kompliceret"
  104     "Kun som sëtning, ikke som kommando"
  105     "Navn allerede defineret"
  106     "Linienumre er fra 1 til 65534"
  107     "Linienumre vil overlappe"
  108     "Afsnit findes ikke"
  109     "Struktureret sëtning ikke tilladt her"
  110     "Ikke en sëtning"
  111     "Linienumre bliver stõrre end 65534"
  112     "Kildetekst beskyttet!!!"
  113     "Ugyldigt tegn"
  114     "Fejl i konstant"
  115     "Fejl i eksponent"
  116     "Navnet er for langt"
  117     "Navnet er ikke tilgëngeligt her"

//----- 190-199 reserveret til Comal system initialiseringsfejl.

//
//----- Runtime I/O meddelelser.
//

  200     "Ikke flere DATA-linier"
